holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
Columbus Day,-0.4032480657182067,-0.22692487194935929,0.0,-0.5826540860453889,Clouds,few clouds,2012-10-08 00:00:00,-1.4220194986073438
Veterans Day,0.7550830667715616,-0.22692487194935929,0.0,1.0990600733243177,Clear,sky is clear,2012-11-12 00:00:00,0.4661874843059903
Thanksgiving Day,0.01726310339044811,-0.22692487194935929,0.0,-0.5826540860453889,Mist,mist,2012-11-22 00:00:00,0.1855548868454764
Christmas Day,-1.0717530012242693,-0.22692487194935929,0.0,1.174360707325946,Clouds,overcast clouds,2012-12-25 00:00:00,-0.21633870951772866
New Years Day,-1.141838196075709,-0.22692487194935929,0.0,0.37115394464190726,Clouds,broken clouds,2013-01-01 00:00:00,1.9871468705426025
Washingtons Birthday,-1.4907238363801423,-0.22692487194935929,0.0,-0.5826540860453889,Clouds,few clouds,2013-02-18 00:00:00,-1.0720949017738637
Memorial Day,0.6203038459034039,-0.22692487194935929,0.0,1.174360707325946,Clouds,overcast clouds,2013-05-27 00:00:00,-0.008462711398829488
Independence Day,0.9060357941438967,-0.22692487194935929,0.0,-1.0595581013890372,Clear,sky is clear,2013-07-04 00:00:00,0.6740634824248894
State Fair,1.471338354813772,-0.22692487194935929,0.0,-0.7834557767163987,Clouds,few clouds,2013-08-22 00:00:00,-0.70831190506579
Labor Day,0.8059140872132643,-0.22692487194935929,0.0,-1.0846583127229132,Clear,Sky is Clear,2013-09-02 00:00:00,0.6082360830205714
Columbus Day,-0.045890588673488115,-0.22692487194935929,0.0,-1.0846583127229132,Clear,Sky is Clear,2013-10-14 00:00:00,-0.8676835036236127
Veterans Day,-0.22148865929029013,-0.22692487194935929,0.0,0.5217552126451646,Clouds,broken clouds,2013-11-11 00:00:00,-1.2176081004570931
Thanksgiving Day,-0.7760088822907095,-0.22692487194935929,0.0,0.5217552126451646,Clouds,broken clouds,2013-11-28 00:00:00,0.2202008865319596
Christmas Day,-1.3975336322370133,0.6861633331239201,0.0,0.5217552126451646,Rain,light rain,2013-12-25 00:00:00,-0.5316173066647257
